"before","after","ratio","percentile"
0.120080321285141,0.181659973226238,1.51282051282051,55
0.120224821787607,0.184701151526229,1.53629798555682,56
0.120188714499253,0.188340807174888,1.56704236300039,57
0.120206313577535,0.192034003534075,1.59753675009932,58
0.121555359419437,0.196675492791998,1.61799112545381,59
0.122612105368993,0.201236678061532,1.64124641246412,60
0.122629906733627,0.204827303474429,1.67028834099457,61
0.123162829900437,0.209555918453353,1.70145423438837,62
0.123817759282279,0.214235529373615,1.73024879965081,63
0.124722345624167,0.219346956908041,1.7586821015138,64
0.125834617360041,0.221366204417052,1.75918367346939,65
0.125934648219017,0.22184280247277,1.76157082748948,66
0.126055998069032,0.223750905141202,1.77501196744854,67
0.127383771656488,0.226536208400848,1.77837573385519,68
0.128029234517246,0.228619053724837,1.78567851777666,69
0.128863591237011,0.229730624131312,1.78274268104777,70
0.130270567229776,0.23252300508172,1.78492356352135,71
0.131269481439501,0.236540096344574,1.80194279546681,72
0.132298867480512,0.242315046330343,1.83157309616454,73
0.131746997111145,0.245932796107648,1.866705135603,74
0.133169999209674,0.251956057851893,1.8919881305638,75
0.132763017191741,0.257629349346056,1.94052044609665,76
0.133093525179856,0.263446385748544,1.97940797940798,77
0.134704830053667,0.272003577817531,2.01925630810093,78
0.136541689983212,0.280358142137661,2.05327868852459,79
0.136336982017201,0.2869429241595,2.10465949820789,80
0.136279737489746,0.286607875307629,2.10308502633559,81
0.13827027027027,0.289945945945946,2.09695074276779,82
0.138233618233618,0.292535612535613,2.11624072547403,83
0.140074996975928,0.297084794967945,2.12089810017271,84
0.142396907216495,0.301932989690722,2.12036199095023,85
0.145048623476236,0.311464182988632,2.14730878186969,86
0.14684697927385,0.322357783330883,2.1951951951952,87
0.149138067373082,0.335600189783331,2.25026511134677,88
0.15123034859877,0.347573479152427,2.29830508474576,89
0.154320987654321,0.35447063224841,2.2969696969697,90
0.156230753438719,0.361527407103264,2.31406044678055,91
0.159397122630738,0.375884905229504,2.35816618911175,92
0.161572052401747,0.391471872591831,2.42289348171701,93
0.167497799941332,0.40539747726606,2.42031523642732,94
0.176008202323992,0.42241968557758,2.4,95
0.179055441478439,0.445585215605749,2.48853211009174,96
0.184102564102564,0.471794871794872,2.56267409470752,97
0.200273410799727,0.500341763499658,2.49829351535836,98
0.228952772073922,0.546201232032854,2.38565022421525,99
